Date,Title,Sentiment
2010-01-28 00:00:00, Obama's State of the Union Address Fails to Lift Market Sentiment,negative
2010-01-28 00:00:00, S&P 500's Biggest Three-Day Tumble Since March 2009,negative
2010-01-28 00:00:00, Senate Moves Closer to Voting on Bernanke's Confirmation,indecisive
2010-01-28 00:00:00, Apple Inc. Shares Fall Post-iPad Launch Amid Criticism,negative
2010-01-28 00:00:00," UK's FTSE 100 Index Drops, Banks No Longer Among Lowest-Risk",negative
2010-01-28 00:00:00, Credit Risk Gauges in U.S. and Europe Reach Seven-Week High,negative
2010-01-28 00:00:00, China and U.S. Demand Concerns Drive Down Commodity Prices,negative
2010-01-28 00:00:00, Gold Prices Remain Steady Despite Market Volatility,indecisive
2010-01-29 00:00:00,U.S. Stocks Decline as Dollar and Treasuries Gain Amid Tech Earnings Concerns,negative
2010-01-29 00:00:00,Technology Shares Drop Following Microsoft and SanDisk Earnings Reports,negative
2010-01-29 00:00:00,"U.S. Economy Grows at Fastest Pace in Six Years, Surpassing Estimates",positive
2010-01-29 00:00:00,Oil Prices Fall for Fourth Consecutive Day as Dollar Strengthens,negative
2010-01-29 00:00:00,"Dollar Index Reaches Six-Month High, Affecting Commodity Demand",negative
2010-01-29 00:00:00,Consumer Confidence and Business Barometer Exceed Expectations,positive
2010-01-29 00:00:00,Copper and Crude Oil Prices Dip Amidst Dollar Rally,negative
2010-01-29 00:00:00,Asian Shares Fall; AU Optronics and Advantest Corp. Report Losses,negative
2010-01-29 00:00:00,European Stocks Rally; BMW Predicts Profit and Sales Growth,positive
2010-01-29 00:00:00, S&P 500 Experiences Biggest Monthly Loss Since Last February,negative
2010-01-29 00:00:00, Corporate Bonds Outperform Stocks Amidst Global Recovery Concerns,negative
2010-01-29 00:00:00, Investors Favor Corporate Bonds Over Equities as Recovery Slows,negative
2010-01-29 00:00:00, Corporate Borrowing Costs Decrease as Investors Seek Safer Options,positive
2010-02-01 00:00:00,U.S. Stocks Rebound as Global Economic Recovery Appears to Accelerate,positive
2010-02-01 00:00:00,Treasuries Fall While Euro Strengthens Against Dollar and Yen,negative
2010-02-01 00:00:00,Exxon Mobil Corp. Leads S&P 500 Gains After Beating Profit Estimates,positive
2010-02-01 00:00:00,Manufacturing Reports Indicate Strongest U.S. Economic Expansion Since August 2004,positive
2010-02-01 00:00:00,S&P 500 Ends Nine-Quarter Earnings Slump with 76 Percent Profit Increase,positive
