Title,Global Sentiment
Emerging Market Equities and Commodities Fall as China Curbs Lending,-1
"S&P 500 Hits 15-Month High, Climbing 0.4 Percent",1
"Dollar Strengthens, Affecting Commodity Prices",0
Shanghai Composite Index Experiences 1.9 Percent Plunge,-1
Global Central Banks Signal Potential End to Recession Measures,0
Zions Bancorporation Leads Financial Shares Surge in S&P 500,1
 S&P 500 Valuation Reaches Highest Level Since 2002,1
" U.S. TIPS Breakeven Rate Widens, Signaling Inflation Expectations",0
 Australian Dollar Gains on Retail Sales Data,0
 Czech Central Bank May Increase Interest Rates in Second Half,0
 MSCI Emerging Markets Index Falls from Peak Valuations,0
 Copper and Other Metals Prices Decline in New York,-1
 Gold and Crude Oil Prices Retreat in Commodity Markets,-1
 Japanese Finance Minister Signals Preference for Weaker Yen,-1
 U.S. Job Losses Expected to Halt for First Time Since 2007,1
U.S. Dollar Declines as Job Cuts Fuel Economic Recovery Concerns,1
Treasuries Rise Following Unexpected U.S. Job Losses,0
U.S. Stocks Rally Amid Corporate Profit Optimism,0
Dollar Index Drops 0.6 Percent Against Major Currencies,-1
Treasury Yields Fall as Economic Recovery Remains Uncertain,0
"S&P 500 Recovers Losses, Driven by UPS Profit Forecast and Alcoa Gains",1
"U.S. Job Market Contracts with 85,000 Jobs Lost in December",1
Fed's Rosengren Suggests High Unemployment Justifies Continued Low Interest Rates,1
"Wholesaler Inventories Surge, Hinting at Increased Orders and Sales",1
 Fed Funds Futures Indicate Reduced Likelihood of Interest Rate Hike by June,1
 Dollar Weakens Against Yen and Most-Traded Counterparts,0
 Two-Year Treasury Note Yields Experience Largest Drop Since December,0
 Yield Spread Between 2- and 10-Year Notes Nears Record Levels,0
 U.S. Prepares for Multiple Treasury Auctions in January,0
 S&P 500 Hits Highest Level Since October 2008,0
" VIX Falls to 20-Month Low, Signaling Decreased Market Volatility",-1
 UPS Shares Surge After Profit Exceeds Estimates,1
 Alcoa Shares Climb Ahead of Fourth-Quarter Earnings Report,1
U.S. Dollar Declines Amid Reduced Bets on Interest Rate Increase,0
Treasury Two-Year Notes Gain as Rate Hike Expectations Diminish,0
Dollar Index Falls to 76.962 Against Major Currencies,-1
Copper and Gold Prices Rise as Dollar Weakens,1
S&P 500 Index Experiences Fluctuations Amid Mixed Market Signals,0
Fed Futures Indicate Lower Expectations for Rate Hikes in June and August,0
Treasury Yield Spread Hits Record as TIPS Auction Commences,-1
 Platinum Reaches 17-Month High Amid Precious Metals Uptick,0
 U.S. Consumer Shares Fall After Venezuelan Bolivar Devaluation,0
 Alcoa Inc. Rallies on Optimism for Fourth-Quarter Earnings,1
 Citigroup Inc. Shares Climb Following Positive Comments from Prince Alwaleed,1
 Russian Ruble and Stocks Surge as Oil Prices Exceed $83 a Barrel,-1
 European Shares Retreat from 15-Month High on Earnings Speculation,0
S&P 500 Drops for First Time This Year Amid Economic Recovery Concerns,-1
European Stocks Fall Sharply; Bonds Rally,-1
Yields on 10-Year Treasuries and German Bunds Decline,-1
Yen Strengthens Across Major Currencies; Crude Oil Prices Fall,0
Alcoa Inc.'s Earnings Miss Analyst Estimates; Shares Tumble,-1
Chevron Corp. Reports Lower Profitability; Stock Slips,0
Intel Corp. and JPMorgan Chase & Co. Set to Report Earnings,-1
 Analysts Predict S&P 500 Companies' Profits Surged 62% in Fourth Quarter,-1
 MSCI World Index Drops; European Companies Norsk Hydro and Beiersdorf Fall,-1
 Air France-KLM Shares Decline Amid Japan Airlines Bankruptcy Speculation,0
 U.S. Sells $40 Billion in Three-Year Notes at Record-Tying Auction,-1
" Credit-Default Swaps Index Rises, Indicating Lower Investor Confidence",-1
 MSCI Emerging Markets Index Falls; Bond Yields Rise on Reduced Indonesian Bond Sale,0
U.S. and European Stocks Rise on Earnings Optimism and Analyst Upgrades,1
Crude Oil Prices Decline Below $80 a Barrel Amid Inventory Gains,-1
Treasuries Fall as U.S. Economy Shows Improvement in Most Regions,1
Dollar Weakens Against Major Currencies as Bonds and Oil Retreat,-1
Merck & Co. and Wyndham Worldwide Corp. Shares Surge on Buy Recommendations,1
MSCI Emerging Markets Index Drops as China Tightens Monetary Policy,0
Shanghai Composite Index Experiences Largest Drop Since November,-1
Pound Strengthens on Speculation of UK Interest Rate Hikes,1
Financial and Healthcare Sectors Lead Gains in S&P 500,1
 Real Estate Companies Rally Following Analyst Upgrades,1
 Google Inc. Considers Exiting China After Cyber Attack,0
 Foreign Central Banks Show Reduced Appetite for U.S. 10-Year Notes,1
" German GDP Contracts by 5% in 2009, Debt Auctions Continue in Europe",1
 Infineon Technologies AG Rises on Goldman Sachs Recommendation,1
 Societe Generale SA Shares Decline After Announcing Asset Writedowns and Provisions,-1
U.S. Stocks Rise as Technology Shares Gain Ahead of Intel Earnings,0
Unexpected Drop in Retail Sales Leads to Higher Treasury Prices,0
Euro Declines as ECB President Trichet Highlights Uncertain Regional Outlook,1
ECB Shortlists Buch and Delgado for Eurozone Bank Watchdog Role,1
ECB Consumer Survey and Eurozone Producer Prices Scheduled for Release,0
Euro Volatility Increases as Market Reacts to Data Reports,0
"Eurozone Consumer Inflation Expectations Fall in May, ECB Reports",0
Upcoming FOMC Minutes Expected to Reveal Debate on Hawkish Policy Stance,0
U.S. Stocks and Commodities Fall as Dollar and Treasuries Rise,-1
"JPMorgan Chase & Co. Retail Bank Reports Loss, Affecting Market Sentiment",-1
"S&P 500 Drops 1.1 Percent, Moving Away from 15-Month High",-1
"Dollar Strengthens Against Major Currencies, Euro Declines",1
JPMorgan Shares Decrease by 2.3 Percent After Quarterly Results,0
ECB President Trichet's Comments Increase Concern Over Greek Debt,-1
"Euro Weakens Against Yen and Pound, Dollar Index Rises",0
 MSCI Asia Pacific Index Reaches Highest Level Since August 2008,-1
 MSCI Emerging Markets Index Drops 0.3 Percent,-1
 Oil Prices Decline for Fifth Consecutive Day,-1
 Soybeans Mark Biggest Weekly Decline Since September,0
Oil Prices Rise for First Time in Six Days Amid Demand Recovery Speculation,-1
Copper Prices Increase on Positive Demand Outlook,0
Global Stocks and British Pound Gain on Economic Optimism,-1
UK House Prices Show Increase in Recent Survey,-1
IMF's Strauss-Kahn Warns Against Early Withdrawal of Stimulus Packages,-1
"Canadian S&P/TSX Composite Index Rises, Led by Energy Stocks",1
European Stocks Climb as Metals Prices Boost Basic-Resource Producers,-1
" Brazil's Bovespa Index Up, Boosted by Petroleo Brasileiro SA",1
 Pound Strengthens as UK House Prices Increase in January,1
 MSCI Asia Pacific Index Falls After JPMorgan Chase Loss and US Consumer Confidence Miss,-1
"U.S. Stocks Rise, Health Companies Lead Rally",1
Treasuries Fall for First Time in Three Days,1
Dollar Strengthens Against Major Trading Partners,1
S&P 500 Reaches 15-Month High,1
10-Year Treasury Yield Rises to 3.7 Percent,1
Dollar Index Rallies 0.5 Percent,1
"European Stocks Recover, Dow Jones Stoxx 600 Index Up",1
U.K. Inflation Rate Sees Record Increase,1
Oil Prices Rebound After Five-Day Decline,1
 Health-Care Stocks Surge on U.S. Political Speculation,1
 Merck & Co. and Pfizer Inc. Gain Over 2.6 Percent,1
" Technology Shares Advance, Ciena Corp. Surges 11 Percent",1
 S&P 500 Earnings Expected to Increase 67 Percent in Q4,1
 S&P 500 Valuations Reach Seven-Year High,1
 MSCI World Index Companies Trade Near Highest P/E Since 2002,1
 German Investor Confidence Falls More Than Expected,1
" British Pound Strengthens, U.K. Consumer Prices Up 2.9 Percent",1
 U.K. Government Bonds Yield Rises After Inflation Report,1
 Mitsubishi UFJ Financial Group Income from Lending May Slump,-1
 Shanghai Considers Allowing Individual Overseas Investments,0
 Copper Futures Rise on Strong Demand from China,1
 Crude Oil Climbs as U.S. Equities Increase,1
 U.S. Corporate Bond Default Swaps Index Reaches Two-Week High,1
S&P 500 Drops from 15-Month High Amid China Lending Concerns,-1
Commodities Fall as Dollar and Treasuries Strengthen,1
"Morgan Stanley, CSX Corp., and IBM Quarterly Results Disappoint",-1
Shanghai Composite Index Hits Year's Lowest Level; Bovespa Sees Major Drop,-1
Dollar Rises Against All 16 Major Currencies,1
10-Year Treasury Yield Decreases to 3.66 Percent,-1
Gold and Oil Prices Tumble by at Least 2 Percent,-1
Liu Mingkang Announces Chinese Banks to Reduce Lending,-1
 Analysts' Forecasts for 67 Percent Profit Increase Questioned After Earnings Season,-1
 IBM and CSX Corp. Shares Fall Following Revenue Declines,-1
 Dollar Strengthens Significantly Against New Zealand Dollar,0
 Canadian Dollar Weakens After Consumer Prices Rise,-1
 Euro Hits Five-Month Low; Greek Bonds Yield Surge,-1
 IMF and European Commission Express Concern Over Greek Budget Deficit,-1
 Dow Jones Stoxx 600 Index Suffers Biggest Retreat Since December,-1
 Credit-Default Swaps Indicate Declining Investor Confidence,-1
 Petrobras Leads Decline in Brazilian Market Amid China Concerns,-1
 Crude Oil and Gold Futures Experience Significant Losses,-1
 Copper Futures Mark Largest Drop Since October,-1
 Energy and Raw-Materials Producers Lead S&P 500 Declines,-1
S&P 500 and MSCI Emerging Markets Index Suffer Significant Losses,-1
President Obama Proposes Bank Reforms to Limit Risk-Taking,-1
Financial Sector Hit Hard by Obama's Proposed Banking Restrictions,-1
U.S. Treasuries Rise as Investors Seek Safety Amidst Market Volatility,-1
"Initial Jobless Claims Increase, Adding Pressure to U.S. Stock Market",-1
Bank of America and JPMorgan Chase Lead Financials Index Downward,-1
Analysts Predict S&P 500 Earnings Growth Despite Market Challenges,-1
 U.S. Dollar Strengthens Against Major Currencies Amidst Risk Aversion,-1
" Gold, Aluminum, and Copper Prices Decline as Commodities Market Slips",-1
 Federal Reserve Bank of Philadelphia's Economic Index Falls Short of Expectations,-1
" Interest-Rate Swap Spreads Widen, Reflecting Increased Market Caution",-1
 Credit-Default Swaps on Goldman Sachs and Morgan Stanley Rise Post-Reform Proposal,-1
 Emerging Market Equities Drop in Response to China's Accelerated Growth,-1
 Crude Oil Prices Fall as U.S. Gasoline Supplies Increase,-1
 European Shares Drop Following U.S. Market Decline,-1
Global Stocks and Commodities Decline Amid Obama's Banking Proposal and China's Rate Hike Concerns,-1
"S&P 500 Suffers 5.1% Three-Day Plunge, Largest Since March Low",-1
European Bank Stocks Hit Six-Month Low as Dow Jones Stoxx 600 Banks Index Drops 1.9%,-1
"MSCI Emerging Markets Index Records 4.7% Weekly Loss, Largest Since October",-1
U.S. Treasury Yields See Slight Increase Despite Weekly Gain,0
Financial Sector Earnings Recovery Threatened by Obama's Banking Plan,-1
Uncertainty Over Bernanke's Fed Chair Reconfirmation Adds to Market Losses,-1
S&P 500 and Dow Jones Erase 2010 Gains Amid Market Sell-Off,-1
VIX Index Witnesses Largest Three-Day Surge Since 2007,1
 JPMorgan Chase & Co. and Bank of America Corp. Shares Tumble Over 3.4%,-1
 Analysts Predict 114% Earnings Increase for Financial Companies in Q4,-1
 MSCI World Index Marks Longest Losing Streak in Over a Month,-1
 U.S. Dollar Weakens Against Euro and Yen After Recent Gains,-1
" Corporate Bond Rally Stalls, Borrowing Costs Rise from Two-Year Lows",0
 Credit-Default Swaps Indicate Increased Concern Over U.S. Corporate Defaults,-1
" Emerging Market Stocks Drop, Led by Kazakhstan's KASE Index",-1
 Shanghai Composite Index Down 4.5% for the Year,-1
" Crude Oil Prices Hit One-Month Low, Gold Futures Fall 1.2%",-1
U.S. Stocks Rise Amid Investor Confidence in Bernanke's Reconfirmation as Fed Chair,1
Yen and Dollar Weaken as Investors Shift to Higher-Yielding Currencies,-1
Two-Year Treasury Yields Increase as Notes Retreat,1
S&P 500 Recovers from Largest Three-Day Decline Since March,1
Hang Seng Index Enters Correction Territory with 10 Percent Loss Since November,0
Goldman Sachs and Wells Fargo Shares Climb; AK Steel Surges on Profit Beat,1
Bank of Japan Considers Expanding Loan Program and Government Debt Purchases,1
U.S. Corporate Bond Default Swaps Hold Near Six-Week High,1
 U.S. Economy Projected to Have Grown at Fastest Rate in Four Years,1
 Ericsson AB Profit Plummets by 92 Percent,0
 Royal Philips Electronics NV Posts Third Consecutive Quarterly Profit,1
 Asian Shares Fall; Bank of China and Honda Motor Co. Shares Decline,0
 MSCI Emerging Markets Index Drops Below One-Month Low,1
 Copper and Precious Metals Prices Rise in Commodity Markets,1
 Crude Oil Rebounds Above $75 a Barrel as Equities Recover,1
Stocks and Commodities Fall as Dollar and Treasuries Rise,0
S&P 500 Drops 0.4 Percent Amid Economic Concerns,-1
MSCI Asia-Pacific Index Declines for Seventh Consecutive Day,-1
U.S. Treasury Yields Near Yearly Low After $44 Billion Auction,-1
Standard & Poor's Lowers Outlook on Japan's Credit Rating,-1
Verizon Shares Fall 1.7 Percent on Disappointing Quarterly Results,-1
"U.S. Consumer Confidence Rises, Exceeding Bloomberg Survey Estimates",-1
Apple and Travelers Stocks Up After Surpassing Quarterly Expectations,1
 Federal Reserve Expected to Maintain Interest Rates Near Zero,-1
 S&P 500 Earnings Slump Ends with Projected 73 Percent Profit Increase,-1
 European Governments Face 2.2 Trillion Euro Borrowing in 2010,-1
 IMF Raises Global Economic Growth Forecast to 3.9 Percent,0
 Emerging Markets Index Falls; Brazil's Bovespa Down 1.1 Percent,-1
 South Korean Won Leads Currency Declines Against Strengthening Dollar,-1
 Two-Year Treasury Auction Yields Near Record Low,0
 Crude Oil and Copper Prices Retreat Amid China's Economic Measures,-1
U.S. Stocks Rise as Fed Commits to Low Interest Rates,1
Global Equities Fall for Sixth Consecutive Day,0
Oil Prices Drop to Five-Week Low,-1
Yen Weakens Against Major Currencies,-1
Dollar Strengthens Amidst Global Financial Concerns,1
Fed Plans to End Mortgage-Backed Securities Purchase Program in March,1
Caterpillar Inc. Shares Fall After Profit Forecast Misses Estimates,-1
S&P 500 Ends Earnings Slump with 73% Profit Increase,1
 U.S. New-Home Purchases Decline to Lowest Since March,1
 Analysts Anticipate Central Banks in Emerging Markets to Raise Interest Rates,0
 Credit Risk Increases as Investors Seek Protection Against Sovereign Defaults,0
 Gasoline Supplies Reach Highest Level Since March 2008,-1
" European Financial Shares Retreat, Leading Stoxx 600 Index Lower",0
 Asian Stocks Experience Longest Losing Streak Since May 2005,0
 Emerging Markets Index Continues Slump Amidst Lending Curbs and Rate Hike Speculations,0
U.S. Stocks Decline as Qualcomm's Forecast Disappoints Investors,-1
Dollar and Short-Term Treasuries Rise on Safety Demand,1
"S&P 500 Hits Lowest Since November, Dow Jones Stoxx 600 Falls",-1
Dollar Index Reaches Five-Month High Against Major Counterparts,1
Copper Prices Experience Biggest Three-Day Slump in 13 Months,-1
"Global Economy Remains Fragile, Earnings Picture Mixed",-1
MSCI World Index Declines for Seventh Consecutive Day,-1
"Euro Weakens Against Major Currencies, Hits Six-Month Low Versus Dollar",-1
 Obama's State of the Union Address Fails to Lift Market Sentiment,-1
 S&P 500's Biggest Three-Day Tumble Since March 2009,-1
 Senate Moves Closer to Voting on Bernanke's Confirmation,-1
 Apple Inc. Shares Fall Post-iPad Launch Amid Criticism,-1
" UK's FTSE 100 Index Drops, Banks No Longer Among Lowest-Risk",-1
 Credit Risk Gauges in U.S. and Europe Reach Seven-Week High,-1
 China and U.S. Demand Concerns Drive Down Commodity Prices,-1
 Gold Prices Remain Steady Despite Market Volatility,0
U.S. Stocks Decline as Dollar and Treasuries Gain Amid Tech Earnings Concerns,0
Technology Shares Drop Following Microsoft and SanDisk Earnings Reports,-1
"U.S. Economy Grows at Fastest Pace in Six Years, Surpassing Estimates",-1
Oil Prices Fall for Fourth Consecutive Day as Dollar Strengthens,0
"Dollar Index Reaches Six-Month High, Affecting Commodity Demand",1
Consumer Confidence and Business Barometer Exceed Expectations,-1
Copper and Crude Oil Prices Dip Amidst Dollar Rally,0
Asian Shares Fall; AU Optronics and Advantest Corp. Report Losses,-1
European Stocks Rally; BMW Predicts Profit and Sales Growth,1
 S&P 500 Experiences Biggest Monthly Loss Since Last February,-1
 Corporate Bonds Outperform Stocks Amidst Global Recovery Concerns,-1
 Investors Favor Corporate Bonds Over Equities as Recovery Slows,-1
 Corporate Borrowing Costs Decrease as Investors Seek Safer Options,-1
U.S. Stocks Rebound as Global Economic Recovery Appears to Accelerate,1
Treasuries Fall While Euro Strengthens Against Dollar and Yen,1
Exxon Mobil Corp. Leads S&P 500 Gains After Beating Profit Estimates,1
Manufacturing Reports Indicate Strongest U.S. Economic Expansion Since August 2004,1
S&P 500 Ends Nine-Quarter Earnings Slump with 76 Percent Profit Increase,1
Citigroup Inc. Shares Rally on Plans to Sell or Split Off Private Equity Unit,1
MSCI World Index Rises After Prolonged Decline Amid Asian Market Concerns,1
Ryanair Holdings Plc Shares Surge as Company Raises Profit Forecast,1
"U.S. Corporate Bond Default Risk Decreases, Signaling Investor Confidence",1
" U.S. Manufacturing Growth Hits Five-Year High, Leading Economic Recovery",1
 European Factory Output Growth Exceeds Forecasts,1
 Commodities Rally with Crude Oil and Gold Prices Increasing,1
 U.S. Treasuries Drop as Obama's Budget Forecasts Record Deficit,1
 Euro Recovers from Seven-Month Low; Zloty and Rand Strengthen,1
 South African Manufacturing Index Reaches 21-Month High,1
Stocks and Commodities Rise Amid Global Economic Optimism,1
Dollar Weakens as Demand for Raw Materials Increases,0
Oil Prices Surge 3.8% in Four Months,1
Aluminum Prices Climb 1.7%,1
MSCI World Index Commodity Producers Jump 2%,1
Brazil's Real Strengthens Against Major Currencies,1
S&P 500 Index Rallies 2.7% Over Two Days,1
Alcoa and Rio Tinto Shares Surge on Higher Metal Price Prospects,1
U.S. Homebuilders Index Advances as D.R. Horton Reports Profit,1
 S&P 500 Companies End Earnings Slump with 76% Profit Increase,1
 European Stocks Rise for Third Consecutive Day,1
 MSCI Emerging Markets Index Gains for Second Day,1
 Treasury Yields Hold Steady Before U.S. Jobs Report,1
 Moodys Affirms Stable Outlook for U.S. Aaa Credit Rating,1
 Australian Dollar Drops After Reserve Bank Holds Interest Rate,1
 European Central Bank and Bank of England Expected to Maintain Rates,1
 Canon and Toyota Shares Climb in Tokyo Stock Market,-1
 Toyota to Resume Production After Recall Fix,-1
U.S. and European Stocks Decline Amid Disappointing Corporate Results,-1
"Dollar Index Rises, Emerging Markets Strengthen",0
"S&P 500 Falls 0.6 Percent, Breaking Two-Day Rally",-1
Industrial Metals Prices Drop as Dollar Strengthens,0
U.S. Service Industry Growth Slower Than Expected,-1
Asian Markets Rally; Shanghai and Sensex Indices See Major Gains,1
Esprit Holdings Ltd. Shares Surge on Strong Profit Report,1
S&P 500 Companies Expected to End Nine-Quarter Profit Slump,-1
" U.S. Job Cuts Continue with 22,000 Lost in January",-1
 Electrolux AB Shares Plunge After Earnings Miss Estimates,-1
 North American Corporate Credit Risk Declines,0
 Crude Oil Prices Dip on Unexpected Inventory Build-Up,0
 Dollar Strengthens Against Euro and Yen,-1
Global Stocks and Commodities Plunge Amid U.S. Jobless Claims Increase,-1
MSCI World Index Experiences Largest Drop in Nine Months,-1
"S&P 500 Index Falls 3.1%, Biggest Decline Since April",-1
Portugal and Spain Stock Indexes Suffer Largest Plunge in 15 Months,-1
Oil and Gold Prices Tumble as Dollar Strengthens,-1
"U.S. Jobless Claims Rise to 480,000, Exceeding Analyst Estimates",-1
"Dow Jones Industrial Average Falls Below 10,000 for First Time Since November",-1
 Monster Worldwide Inc. and MasterCard Stocks Take Major Hits,-1
 Brazil's Bovespa Index Drops 4.7% with All Companies Declining,-1
 U.S. Treasuries Rally as Investors Seek Safe Assets,-1
 Berkshire Hathaway Loses Last AAA Credit Rating Post Burlington Northern Acquisition,-1
 European Stocks Decline Sharply; Stoxx 600 Index Down 2.7%,-1
" Spain's Bond Auction Yields Rise, Indicating Increased Funding Concerns",-1
 Credit-Default Swaps on European Government Debt Reach New Highs,-1
 ECB President Trichet Expresses Confidence in Greece's Deficit Reduction,-1
 MSCI Emerging Markets Index Ends Three-Day Rally with 2.7% Drop,-1
 Dollar Rallies Against Major Counterparts Amid Market Turmoil,1
 Yen Strengthens as Investors Unwind Carry Trades,0
 Gold Futures Experience Largest Decline Since 2008,-1
" Crude Oil Prices Fall 5%, Largest Drop Since July",-1
 Copper and Other Metals Prices Decline in Commodity Market Slump,-1
"U.S. Stocks Recover in Final Hour, Dow Erases 167-Point Drop",0
"Oil, Gold, and Copper Rebound in Electronic Trading",-1
U.S. Dollar Index Gains Moderately Amid Market Volatility,0
U.S. Jobless Rate Drops to Five-Month Low of 9.7 Percent,0
European Central Bank President Comments on Euro Area's Solid Economy,-1
"Cisco, Intel, and Alcoa Lead Gains in Dow Jones Industrial Average",1
S&P 500 Falls for Fourth Consecutive Week,0
 European Stocks Extend Weekly Slump Amid Deficit Concerns,-1
 BHP Billiton Ltd. and Rio Tinto Group Affected by Metals Slump,1
" Emerging Markets Experience Retreat, Brazil's Bovespa Index Down",-1
 BES Investimento do Brasil Cancels International Bond Offering,0
 Berkshire Hathaway Sells $8 Billion of Notes for Burlington Northern Acquisition,1
" Oil, Gold, and Copper Prices Rebound With U.S. Stock Recovery",-1
 Euro Hits One-Year Low Against Yen Amid European Deficit Concerns,-1
" Dollar Strengthens Against Yen, Euro Weakens to Eight-Month Low",-1
Global Stocks Fall Amid European Government Funding Concerns,0
Industrial Metals Rally After Previous Week's Decline,-1
Commodity Producer Currencies Strengthen,0
"Dow Jones Industrial Average Closes Below 10,000",-1
S&P GSCI Commodity Index Posts First Gain in Four Days,-1
South African Rand Rises Against Major Currencies,0
European Stocks Rebound Led by Food and Mining Sectors,-1
 Copper and Other Metals Prices Rebound in New York,1
 Crude Oil and Gold Prices Advance,1
" U.S. Dollar Weakens, Breaking Four-Day Gain Streak",-1
 UK Pound Declines as Election Uncertainty Grows,-1
 Corporate Credit Risk Reaches Two-Month High,-1
 U.S. Treasury Sales of $81 Billion Offset European Default Concerns,0
Global Equities and Euro Rally Amid Greek Aid Speculation,1
"S&P 500 Rises 1.3%, Recovers from Previous Losses",1
MSCI Emerging Markets Index Gains After Recent Decline,1
Euro Strengthens Significantly Against Dollar and Yen,0
Commodities Including Oil and Copper Surge Over 2%,1
German Officials Consider Financial Assistance for Greece,1
EU Economic Affairs Commissioner to Discuss Greek Support,1
 MSCI World Index Halts Loss Streak with 0.9% Rise,1
 Stoxx 600 Index Fluctuates After Fitch Ratings Comments,0
 Brazilian and Taiwanese Stocks Lead Emerging Market Gains,1
 MSCI Asia Pacific Index Rises; Nissan Motor Predicts Profit,1
 U.S. Treasuries Fall as Risk Appetite Increases,1
 U.S. Corporate Bond Default Swaps Drop,1
 Copper Hits Year's Biggest Gain; Gold and Crude Oil Rally,1
U.S. Stocks Fall as Fed Considers Raising Discount Rate,0
Dollar Strengthens Against Major Counterparts Amid Fed Plans,1
Treasury Yields Rise Following $25 Billion Auction,1
Bernanke Indicates Possible Rate Hike on Bank Loans,0
European Shares Rally on Greece Financial Rescue Discussions,1
U.S. Commodity Producers Decline as Dollar Gains,0
Copper Prices Drop for the First Time This Week,0
Crude Oil Rises Amid U.S. Sanctions on Iranian Companies,1
Gold Prices Dip as Dollar Climbs,1
 Fed May Replace Federal Funds Rate as Policy Guide,0
 S&P 500 Surges 58% Since March 2009 Low,0
 French and German Governments Consider Backing for Greece,-1
 China's Shanghai Composite Index Rises for Second Day,1
" Japan's Nissan Motor Forecasts Net Income, Shares Jump",-1
 Japanese Industrial Manufacturers Gain on Machinery Orders Surge,0
Stocks and Metals Surge Amid Greece Bailout Plan,1
Dollar Weakens in Response to European Agreement on Greece,1
Dow Jones Industrial Average Rises 1.1% Following Greece Aid News,1
S&P 500 Recovers Half of Its Recent Decline Amidst European Fiscal Optimism,1
China's Inflation Concerns Ease with Lower Than Expected Consumer Price Rise,1
U.S. Unemployment Claims Drop More Than Anticipated,1
Philip Morris International Announces Stock Repurchase Plan,1
 Lennar Corp. Acquires Stake in Multi-Billion Dollar Loan Portfolio,1
 JPMorgan Chase & Co. Sees Modest Stock Increase,1
 Basic-Resource Shares Rally in Europe's Dow Jones Stoxx 600 Index,1
 Freeport-McMoRan and Exxon Mobil Lead Gains in Commodity Sector,1
 Copper Futures Experience Largest Gain Since August,1
 Natural Gas Futures Rise Amidst Cold Weather Demand,1
 U.S. Treasury Yields Increase After Record Bond Auction,1
 Euro Declines Against Major Currencies Post-Greece Agreement,-1
"U.S. Stocks, Euro, and Commodities Fall Amid China and Greece Concerns",-1
"Euro Zone's GDP Growth Slows, Underperforming Expectations",-1
U.S. Retail Sales Exceed Forecasts with January Rise,0
"S&P 500 Drops, Diminishing Weekly Gains",0
Euro Hits Nine-Month Low Against Dollar,0
Oil and Copper Prices Decline Over 1.5%,-1
U.S. Dollar Index Rises as Euro Weakens,-1
